Spotify PT;Prova Oral;Podcast;NULL;NULL;150;NULL;Antena3 - RTP;NULL;Livre;NULL
Spotify PT;PLÁGIO;Podcast;NULL;NULL;67;NULL;Mariana Bossy e Mafalda Creative;NULL;Livre;NULL
Spotify PT;Bate Pé;Podcast;NULL;NULL;209;NULL;Mafalda Castro e Rui Simões;NULL;Livre;NULL
Spotify PT;Podpah;Podcast;NULL;NULL;974;NULL;Podpah;NULL;18+;NULL
Spotify PT;watch.tm;Podcast;NULL;NULL;104;NULL;Pedro Teixeira da Mota;NULL;18+;NULL
Spotify PT;Sons para relaxar | by Relaxing White Noise;Podcast;NULL;NULL;152;NULL;Sons para relaxar;NULL;Livre;NULL
Spotify PT;PrimoCast;Podcast;NULL;NULL;487;NULL;Grupo Primo ;NULL;18+;NULL
Spotify PT;p;Podcast;NULL;NULL;2;NULL;zin;NULL;Livre;NULL
Spotify PT;Café Com Deus Pai | Podcast oficial;Podcast;NULL;NULL;914;NULL;Junior Rostirola;NULL;Livre;NULL
Spotify PT;アルコ&ピースのしくじり学園放送室P;Podcast;NULL;NULL;69;NULL;聴くテレ朝;NULL;18+;NULL
Spotify PT;RFM - Ninguém POD comigo;Podcast;NULL;NULL;100;NULL;RFM;NULL;Livre;NULL
Spotify PT;PeeWeeCast;Podcast;NULL;NULL;396;NULL;Canal PeeWee;NULL;Livre;NULL
Spotify PT;The Prof G Pod with Scott Galloway;Podcast;NULL;NULL;836;NULL;Vox Media Podcast Network;NULL;18+;NULL
Spotify PT;The Jordan B. Peterson Podcast;Podcast;NULL;NULL;561;NULL;Dr. Jordan B. Peterson;NULL;18+;NULL
Spotify PT;Voz de Cama;Podcast;NULL;NULL;150;NULL;Antena3 - RTP;NULL;Livre;NULL
Spotify PT;Vulneravelmente Falando;Podcast;NULL;NULL;66;NULL;Lara Moniz;NULL;18+;NULL
Spotify PT;Vamos Viajar na Maionese;Podcast;NULL;NULL;12;NULL;De Hugo van der Ding com Tiago Ribeiro;NULL;Livre;NULL
Spotify PT;:v;Podcast;NULL;NULL;1;NULL;Gato Dios Fino 2;NULL;Livre;NULL
Spotify PT;𝐈v𝐲 ! 𝜗𝜚;Podcast;NULL;NULL;1;NULL;"Ivy ! &lt;3";NULL;Livre;NULL
Spotify PT;v;Podcast;NULL;NULL;1;NULL;`♰;NULL;18+;NULL
Spotify PT;This Past Weekend w/ Theo Von;Podcast;NULL;NULL;482;NULL;Theo Von;NULL;18+;NULL
Spotify PT;Vou contar-te uma história ;Podcast;NULL;NULL;104;NULL;Vania Cardoso;NULL;Livre;NULL
Spotify PT;大V集;Podcast;NULL;NULL;836;NULL;Et Soh;NULL;Livre;NULL
Spotify PT;Palavra é Vidas! ❤️ ;Podcast;NULL;NULL;767;NULL;Missionário Vagner C Souza;NULL;Livre;NULL
Spotify PT;Miguel Sousa Tavares de Viva Voz;Podcast;NULL;NULL;139;NULL;Expresso;NULL;Livre;NULL
Spotify PT;E o vencedor é...;Podcast;NULL;NULL;100;NULL;Observador;NULL;Livre;NULL
Spotify PT;Linhas Vermelhas;Podcast;NULL;NULL;100;NULL;SIC Notícias;NULL;Livre;NULL
Spotify PT;TSF - Visão de Jogo - Podcast;Podcast;NULL;NULL;274;NULL;TSF;NULL;Livre;NULL
Spotify PT;Vitória Vitória Vem Aí Uma História;Podcast;NULL;NULL;65;NULL;M80 Rádio | Elsa Teixeira;NULL;Livre;NULL
Spotify PT;The Joe Rogan Experience;Podcast;NULL;NULL;2511;NULL;Joe Rogan;NULL;18+;NULL
Spotify PT;Jogo Pelo Jogo - Solverde.pt;Podcast;NULL;NULL;91;NULL;solverde.pt;NULL;18+;NULL
Spotify PT;Jota Jota Podcast;Podcast;NULL;NULL;922;NULL;Joel Jota;NULL;Livre;NULL
Spotify PT;Jovem Conservador de Direita;Podcast;NULL;NULL;288;NULL;Jovem Conservador de Direita;NULL;18+;NULL
Spotify PT;On Purpose with Jay Shetty;Podcast;NULL;NULL;672;NULL;iHeartPodcasts;NULL;Livre;NULL
Spotify PT;j;Podcast;NULL;NULL;1;NULL;arvid;NULL;18+;NULL
Spotify PT;Brooke and Jeffrey: Second Date Update;Podcast;NULL;NULL;1807;NULL;iHeartPodcasts;NULL;Livre;NULL
Spotify PT;J及好聲音;Podcast;NULL;NULL;1;NULL;Dr J;NULL;Livre;NULL
Spotify PT;The Journal.;Podcast;NULL;NULL;1513;NULL;The Wall Street Journal;NULL;Livre;NULL
Spotify PT;J個英文;Podcast;NULL;NULL;34;NULL;Jack 傑克;NULL;Livre;NULL
Spotify PT;世界J;Podcast;NULL;NULL;18;NULL;smalljhk;NULL;Livre;NULL
Spotify PT;O Misterioso Engenheiro Jardim;Podcast;NULL;NULL;12;NULL;Observador;NULL;Livre;NULL
Spotify PT;Menos Pausa - com Júlia Pinheiro;Podcast;NULL;NULL;19;NULL;Menos Pausa;NULL;18+;NULL
Spotify PT;Joyce Meyer Desfrutando a Vida Diária®;Podcast;NULL;NULL;533;NULL;Joyce Meyer;NULL;Livre;NULL
Spotify PT;The Diary Of A CEO with Steven Bartlett;Podcast;NULL;NULL;682;NULL;FlightStory;NULL;Livre;NULL
Spotify PT;Bom Partido;Podcast;NULL;NULL;23;NULL;Guilherme Geirinhas;NULL;Livre;NULL
Spotify PT;Bitalk;Podcast;NULL;NULL;260;NULL;Bitalk - Negócios à Portuguesa ;NULL;18+;NULL
Spotify PT;isso não se diz;Podcast;NULL;NULL;111;NULL;Bruno Nogueira;NULL;18+;NULL
Spotify PT;Bad Friends;Podcast;NULL;NULL;280;NULL;Bobby Lee & Andrew Santino;NULL;18+;NULL
Spotify PT;b;Podcast;NULL;NULL;1;NULL;normL;NULL;18+;NULL
Spotify PT;硅谷叨B叨;Podcast;NULL;NULL;61;NULL;叨哥;NULL;Livre;NULL
Spotify PT;Weekly Motivation by Ben Lionel Scott;Podcast;NULL;NULL;528;NULL;Ben Lionel Scott;NULL;18+;NULL
Spotify PT;Conan O’Brien Needs A Friend;Podcast;NULL;NULL;592;NULL;Team Coco & Earwolf;NULL;18+;NULL
Spotify PT;B☆;Podcast;NULL;NULL;1;NULL;bryan;NULL;Livre;NULL
Spotify PT;FT News Briefing;Podcast;NULL;NULL;1867;NULL;Financial Times;NULL;Livre;NULL
Spotify PT;BrunetCast;Podcast;NULL;NULL;324;NULL;Tiago Brunet;NULL;Livre;NULL
Spotify PT;Brian Windhorst & The Hoop Collective;Podcast;NULL;NULL;200;NULL;ESPN NBA Brian Windhorst;NULL;Livre;NULL
Spotify PT;W;Podcast;NULL;NULL;5;NULL;Jaedo ;NULL;18+;NULL
Spotify PT;Modern Wisdom;Podcast;NULL;NULL;949;NULL;Chris Williamson;NULL;18+;NULL
Spotify PT;Relaxing White Noise;Podcast;NULL;NULL;1055;NULL;Relaxing White Noise LLC;NULL;Livre;NULL
Spotify PT;anything goes with emma chamberlain;Podcast;NULL;NULL;375;NULL;emma chamberlain;NULL;18+;NULL
Spotify PT;Ray William Johnson: True Story Podcast ;Podcast;NULL;NULL;290;NULL;Ray William Johnson;NULL;Livre;NULL
Spotify PT;Andrew Schulz's Flagrant with Akaash Singh;Podcast;NULL;NULL;535;NULL;Andrew Schulz's Flagrant with Akaash Singh;NULL;18+;NULL
Spotify PT; What Now? with Trevor Noah;Podcast;NULL;NULL;83;NULL;Spotify PT Studios;NULL;Livre;NULL
Spotify PT;Insight with Chris Van Vliet;Podcast;NULL;NULL;769;NULL;Blue Wire;NULL;Livre;NULL
Spotify PT;The Why Files: Operation Podcast;Podcast;NULL;NULL;214;NULL;The Why Files: Operation Podcast;NULL;Livre;NULL
Spotify PT;Ologies with Alie Ward;Podcast;NULL;NULL;453;NULL;Alie Ward;NULL;18+;NULL
Spotify PT;Calming White Noise Podcast;Podcast;NULL;NULL;884;NULL;Calming White Noise LLC;NULL;Livre;NULL
Spotify PT;Armchair Expert with Dax Shepard;Podcast;NULL;NULL;887;NULL;Armchair Umbrella;NULL;18+;NULL
